iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,1.1725e-5,1.1725e-5,639,0.1997305414951229,0.1997305414951229,0.023479210793834637,0.013965490877097197,0.021188288398122923,-3.9200628,-3.9533014,-3.8997438,false,,0.8752812397300098,0.8752812397300098,0.22192026695654374,1.0,1.0,0.0,0.0
1,1.800620239,1.800631964,639,0.1997276539931613,0.19973054174258925,0.02347925877416701,0.013965528940057315,0.02118833656625796,-3.9200594,-3.953297,-3.8997343,false,,0.8752863565305308,0.8752812323778558,0.22192027388854235,0.999937725741779,0.9999812001790143,0.0006657789138280052,0.00011950286979849557
2,0.719092688,2.519724652,639,0.19972053293535816,0.1997315910181919,0.02347950990329406,0.013957563935729556,0.021185925695713426,-3.9200509,-3.953286,-3.899729,false,,0.8752943438611748,0.8752732928591742,0.2219202585522762,0.9998964673600405,0.9999599005444734,0.0016750602451905084,0.00022778234988815542
3,0.675117757,3.1948424089999996,639,0.1997096059026122,0.19973528405230181,0.023452448850798446,0.013919814791928942,0.021156739469769592,-3.9200354,-3.9532685,-3.8997166,false,,0.8753067102289553,0.8752556407588065,0.22192026736119178,0.9998689739587638,0.9999358068577892,0.0032005438079261406,0.0003259255655167929
4,0.636788794,3.8316312029999997,639,0.19969322989436872,0.19974214808943286,0.023393819306005925,0.013846101683134715,0.02109617215275339,-3.9200122,-3.9532409,-3.8996966,false,,0.8753255757011059,0.8752243985235371,0.22192027741455442,0.9998505031362451,0.99990860929814,0.005495257751788111,0.00041494953597280413
5,0.687208952,4.5188401549999995,639,0.1996692537445704,0.19975342333420493,0.023294025927036,0.013724168652211488,0.020994247594055215,-3.9199774,-3.9531996,-3.8996654,false,,0.875353853496597,0.8751731057145041,0.22192026782095642,0.9998379115374771,0.9998779901500423,0.008922053514211726,0.0004958155141679523
6,0.691378815,5.21021897,639,0.199634523400689,0.199770791808552,0.02313863902012825,0.01353593701777811,0.020836164317111328,-3.919926,-3.9531398,-3.899619,false,,0.8753953848930137,0.8750920605281897,0.22192024824909856,0.9998290782298447,0.9998436385887755,0.013984281103201658,0.0005694503555366689
7,0.695365848,5.9055848179999995,639,0.19958543345957178,0.19979709068897206,0.022905033333144975,0.0132537873026084,0.02059885198579159,-3.9198534,-3.9530535,-3.899553,false,,0.8754547006286276,0.8749675212501333,0.22192026330168493,0.9998225307881419,0.9998052740523622,0.021344770536408045,0.0006367767927995684
8,0.679611183,6.585196001,639,0.19951824051920103,0.1998365490706964,0.02256321140848372,0.01284117495456305,0.020251764625168867,-3.9197521,-3.9529347,-3.899461,false,,0.8755364005655887,0.8747814909083909,0.22192026305264753,0.9998171975106848,0.9997626831224005,0.03180621567646873,0.0006987509405887875
9,0.621805601,7.207001602,639,0.19943017838765456,0.19989512159799566,0.022074890047871665,0.01225191359372546,0.019756027204616,-3.919618,-3.9527774,-3.899339,false,,0.87564330385101,0.8745124048371982,0.2219202593768084,0.9998122422212058,0.9997157721085881,0.046210565777338806,0.0007564037038167255
10,0.668011785,7.875013387,639,0.19932143269401234,0.19998097072934284,0.021397394022841354,0.011434809929306233,0.019068337244768974,-3.9194481,-3.952582,-3.899186,false,,0.8757736689499939,0.8741382182352855,0.2219202670326666,0.9998069574601874,0.9996646341120256,0.06521674988776872,0.000810885016054315
11,0.68623716,8.561250547,639,0.19919675275739565,0.2001041101480299,0.020492331499366023,0.010344284806029558,0.018149837505871735,-3.9192457,-3.952354,-3.8990064,false,,0.8759182368953929,0.8736425317790999,0.22192027855514157,0.9998007086778347,0.9996096193574538,0.0889693553342486,0.0008634899373321416
12,0.678220128,9.239470675,639,0.19906599087842233,0.2002753156624614,0.019338920659978442,0.008956433307663825,0.016979587505869587,-3.9190254,-3.9521122,-3.8988118,false,,0.8760594414917761,0.8730227863902964,0.2219202792433771,0.9997929261986839,0.999551384591975,0.11679147768851991,0.0009156431714172523
13,0.676832007,9.916302682,639,0.19894135199814425,0.20050300662925416,0.017949039176327397,0.007286582104645389,0.015569795908697337,-3.9188025,-3.9518785,-3.8986204,false,,0.8761754460380994,0.8722968587333886,0.22192025958635297,0.9997831381416574,0.99949088470698,0.14713690905747592,0.0009688198590660301
14,0.635064121,10.551366802999999,639,0.19883331521784764,0.20078981415401162,0.0163739116184054,0.0053968285018891615,0.013972503272096537,-3.9185965,-3.9516754,-3.898448,false,,0.8762482808838767,0.8715027940360625,0.2219202765524984,0.9997710221228024,0.9994292770523194,0.1779468738959961,0.0010244080614350592
15,0.671249159,11.222615961999999,639,0.19874720687942304,0.2011300673634061,0.014695325371111956,0.0033849233595822925,0.012270525769643936,-3.9184194,-3.951516,-3.898306,false,,0.8762707587926509,0.8706896370047812,0.22192025708825025,0.9997564391999783,0.9993677567555873,0.2072541549449592,0.001083544269114462
16,0.69529344,11.917909402,639,0.19868294528596414,0.20151031933538327,0.01300532547075195,0.0013600098563444352,0.010556884917158782,-3.9182773,-3.9514024,-3.8981974,false,,0.8762475508887033,0.8699041640026206,0.2219202682987663,0.9997394240762156,0.9993073793247058,0.23367434421543073,0.001147002436382713
17,0.697806894,12.615716295999999,639,0.19863720337577864,0.20191296840060957,0.011384084188646226,-0.0005833699767482381,0.008912446114438866,-3.9181678,-3.9513292,-3.8981192,false,,0.8761907140333349,0.8691807927652393,0.22192026325418646,0.999720139572125,0.99924894031261,0.2565546646170831,0.001215168680702651
18,0.686320279,13.302036574999999,639,0.19860556851499547,0.20232027742255193,0.00988704563970988,-0.002379958007395322,0.00739300620855432,-3.9180865,-3.951287,-3.8980663,false,,0.8761139184392073,0.8685383430754907,0.22192026771391626,0.999698820254004,0.9991929422468071,0.2758371026148153,0.0012880983940508537
19,0.638911211,13.940947785999999,639,0.198583999593415,0.20271745929261856,0.008544039145233162,-0.0039947334205682195,0.006028568570158099,-3.9180272,-3.9512656,-3.8980327,false,,0.8760286936006497,0.867982370923224,0.22192026374411594,0.9996757310130895,0.9991396299395312,0.2918201142983419,0.0013656174003618302
20,0.672693611,14.613641396999999,639,0.19856938914039668,0.20309400999815566,0.007363653829430383,-0.005417472829327807,0.004827706343837446,-3.9179842,-3.9512599,-3.898012,false,,0.8759431059958293,0.8675095718879733,0.22192026714767482,0.9996511467407001,0.9990890582455343,0.30495430986802613,0.0014474136762063034
21,0.690070694,15.303712090999998,639,0.1985594836329037,0.20344350673540698,0.006340661456272878,-0.006654182949338949,0.003785175916948158,-3.9179537,-3.951262,-3.898,false,,0.8758620692899708,0.867111985146666,0.22192027678754614,0.9996253439252311,0.9990411595777313,0.3157137853181709,0.0015331141395979679
22,0.698174854,16.001886945,639,0.19855276114981382,0.20376289120831875,0.005462304528575879,-0.007719657648834866,0.002888203311312898,-3.9179313,-3.9512691,-3.8979936,false,,0.8757880794128748,0.8667798322452755,0.22192026944685564,0.9995986001424619,0.9989957972488481,0.32453218727547356,0.0016223347422253064
23,0.6688307,16.670717645,639,0.19854821107105494,0.2040514842549574,0.004712484509319603,-0.008632632376888383,0.0021206870405582334,-3.9179153,-3.951279,-3.8979912,false,,0.8757220746888044,0.866503286113562,0.22192026556042643,0.9995711921148523,0.9989528046763487,0.3317791855583484,0.0017147027872703238
24,0.649663136,17.320380781,639,0.19854510299334396,0.20431023859950764,0.0040744206914259395,-0.009412640531707428,0.0014658838592648271,-3.9179037,-3.9512897,-3.8979907,false,,0.875664064454316,0.8662733096006299,0.22192028894254687,0.9995433925935374,0.9989120058405759,0.3377588873123799,0.0018098743187537345
25,0.685784562,18.006165343,639,0.19854300474182546,0.20454101207649447,0.003532299284354945,-0.010078205833233822,0.0009079656202585218,-3.9178946,-3.9513004,-3.8979912,false,,0.8756135833708381,0.8660820335610425,0.2219202664991363,0.9995154660023564,0.9988732327585049,0.3427162203328643,0.001907538958286137
26,0.68616139,18.692326732999998,639,0.1985416110934044,0.20474613972481948,0.0030719070899585255,-0.010645953806561193,0.0004327731890670927,-3.9178877,-3.9513106,-3.8979926,false,,0.8755698914630761,0.8659227237109766,0.22192027230105874,0.9994876625033342,0.9988363283819299,0.3468465552944101,0.002007416988158086
27,0.709058844,19.401385577,639,0.19854070056145542,0.20492812677561145,0.002680575340488822,-0.011130722588253095,2.765157721351663e-5,-3.917883,-3.9513204,-3.8979948,false,,0.8755322376703359,0.8657898094381533,0.2219202631131421,0.9994602133229714,0.9988011526005433,0.35030553576759305,0.0021092618013331802
28,0.682410308,20.083795885,639,0.1985400866139744,0.20508943120018702,0.0023476043522778767,-0.011545138960966317,-0.0003181310490497635,-3.917879,-3.9513292,-3.8979964,false,,0.8754998433578307,0.8656786459575417,0.22192026408706977,0.9994333260733819,0.998767580297243,0.35321676525973156,0.002212853227992569
29,0.629553288,20.713349173,639,0.1985397428253315,0.2052324444191863,0.0020639235429403824,-0.011899903142816748,-0.000613633914116174,-3.917876,-3.9513376,-3.8979976,false,,0.875471996681005,0.865585412806701,0.2219202542947471,0.999407181626644,0.9987355030736761,0.3556789835964582,0.002317999627546235
30,0.670598196,21.383947369,639,0.19853954332569765,0.20535936081920533,0.0018216450309853638,-0.01220433552288247,-0.0008667813861004126,-3.9178731,-3.9513443,-3.897999,false,,0.8754480711719136,0.8655069795029104,0.2219202503045587,0.9993819324637682,0.9987048255829252,0.35777130643953936,0.0024245305978719375
31,0.679214983,22.063162352000003,639,0.19853947856087473,0.20547205047518877,0.001614539610527932,-0.012465860704512055,-0.001083830990240453,-3.9178712,-3.951351,-3.8980002,false,,0.8754274627537835,0.8654407261431547,0.22192025962084894,0.9993577014891853,0.9986754646697193,0.3595570803275495,0.0025322928247021453
32,0.685131172,22.748293524,639,0.198539450193615,0.2055722884575629,0.0014370108949788296,-0.012691106671727459,-0.001270436969401545,-3.9178696,-3.9513564,-3.8980012,false,,0.8754097188046244,0.8653845666575065,0.2219202491692935,0.9993345842033895,0.9986473485192539,0.36108776665057624,0.002641152108871764
33,0.66022967,23.408523194,639,0.19853953900601498,0.2056617514217709,0.0012843603769874257,-0.012885680922932963,-0.0014313414148712233,-3.9178681,-3.9513617,-3.8980014,false,,0.8753944348601094,0.8653367669384601,0.22192029041062725,0.9993126482368746,0.9986204140784974,0.362405056534547,0.00275099085962381
34,0.618546439,24.027069633,639,0.198539632312215,0.20574158860675495,0.0011530960502538212,-0.013053831408076366,-0.0015700918760267468,-3.9178672,-3.9513664,-3.8980024,false,,0.8753812237346785,0.8652958580293171,0.22192026671388765,0.99929193700236,0.9985946062290046,0.3635430941265255,0.0028617034589330207
35,0.673309868,24.700379501,639,0.19853978247849774,0.205813138580545,0.001039854705744525,-0.013199591264953736,-0.001690113592966891,-3.9178665,-3.9513705,-3.8980026,false,,0.8753697943312713,0.8652606621203419,0.2219202745662214,0.9992724718405197,0.998569875905467,0.36452975784093616,0.002973197065850281
