iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.056191021,0.056191021,181,0.20128738778814073,0.20128738778814073,0.023567990778482373,0.012867642704154969,0.022060973867999656,-3.932286520597832,-3.962999580314111,-3.9098817285514667,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
1,4.550145284,4.606336305,183,0.2012873861649737,0.2012873861649737,0.02356798317733122,0.012867635503241104,0.02206096714756023,-3.932286520597832,-3.962999580314111,-3.9098817285514667,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
2,0.116067458,4.722403763,185,0.20128737786620832,0.20128737786620832,0.023567989453848637,0.012867641214914793,0.022060973506854542,-3.932286520597832,-3.962999580314111,-3.909881728551468,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
3,0.55807265,5.280476413,187,0.20128734213385838,0.20128734213385838,0.023568267424557865,0.012867929374113185,0.022061184721785754,-3.9322865205821946,-3.9629999153977646,-3.9098816911269445,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
4,0.288302257,5.5687786699999995,188,0.20125688848113724,0.20125688848113724,0.023545898888580385,0.012853441993899817,0.022051254911426565,-3.9310783669906098,-3.9623414049622343,-3.9095367565645707,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
5,0.235380424,5.804159093999999,190,0.20125680934637655,0.20125680934637655,0.023548695498309513,0.012856384487042516,0.022054305433494736,-3.9310783658736814,-3.962342072391925,-3.909537216850025,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
6,0.011444115,5.815603208999999,192,0.20125680934637655,0.20125680934637655,0.023548695498309513,0.012856384487042516,0.022054305433494736,-3.9310783658736814,-3.962342072391925,-3.909537216850025,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
7,0.012019491,5.827622699999999,196,0.20129452879343843,0.20129452879343843,0.023526149825492393,0.012764002245934103,0.02202923232984877,-3.9309408107473285,-3.9621289731728853,-3.909569639933229,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
8,0.014830736,5.8424534359999996,198,0.20129462119221367,0.20129462119221367,0.02352583247694684,0.012763625100259968,0.022028989742398974,-3.9309408104166628,-3.962128759263306,-3.909569881636507,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
9,0.156344307,5.998797743,199,0.20104721956837232,0.20104721956837232,0.022924444906512798,0.012105969867251876,0.02141037181175809,-3.929245754293419,-3.9608932136408654,-3.9083210021537167,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
10,0.031163852,6.029961595,199,0.20104721956837232,0.20104721956837232,0.022924444906512798,0.012105969867251876,0.02141037181175809,-3.929245754293419,-3.9608932136408654,-3.9083210021537167,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
11,0.142018272,6.171979866999999,206,0.20093648628470334,0.20093648628470334,0.0222649913628018,0.01210385487474852,0.02041175729685396,-3.9278230272978356,-3.9597482912062767,-3.9067702720693602,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
12,0.012668516,6.184648382999999,208,0.20093651487006706,0.20093651487006706,0.02226506011497209,0.012103967662785209,0.020411813125177147,-3.9278230264598415,-3.9597488263741836,-3.906770372296953,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
13,0.010397566,6.195045948999999,208,0.20093651487006706,0.20093651487006706,0.02226506011497209,0.012103967662785209,0.020411813125177147,-3.9278230264598415,-3.9597488263741836,-3.906770372296953,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
14,0.01033256,6.205378508999999,210,0.20093629920481457,0.20093629920481457,0.0222677775274841,0.01210679033342188,0.02041431882844591,-3.9278230258155142,-3.959749039887009,-3.9067698288561097,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
15,0.032702646,6.238081154999999,213,0.20090527695784538,0.20090527695784538,0.02229808723106974,0.01217911941350569,0.02043926981008859,-3.9277133474016526,-3.959939416528072,-3.9068212443103607,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
16,0.012529084,6.2506102389999985,215,0.20090501355403134,0.20090501355403134,0.022301188797047233,0.012182400682489436,0.02044214743786177,-3.9277133465821894,-3.9599397246332426,-3.90682080543157,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
17,0.011357333,6.261967571999999,215,0.20090501355403134,0.20090501355403134,0.022301188797047233,0.012182400682489436,0.02044214743786177,-3.9277133465821894,-3.9599397246332426,-3.90682080543157,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
18,0.011574318,6.273541889999999,217,0.20090548407141726,0.20090548407141726,0.022296969618804452,0.012178140203101706,0.020437309278913074,-3.927713349114764,-3.959938317360641,-3.906820143708042,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
19,0.011765801,6.285307690999999,219,0.2009049074077972,0.2009049074077972,0.02230199816859224,0.012183250460408579,0.02044296896447262,-3.927713346522511,-3.959940065609424,-3.9068206673061936,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
20,0.033563442,6.318871132999999,222,0.20073529547193406,0.20073529547193406,0.02205397670178688,0.011662721871152026,0.020192601569732793,-3.9273499032397052,-3.9590040134529385,-3.9061301064315956,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
21,0.012817527,6.331688659999999,224,0.20073521376348175,0.20073521376348175,0.022054558449355777,0.011663331706211033,0.02019319720792956,-3.927349902438158,-3.9590040886490208,-3.9061301157494235,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
22,0.031679998,6.363368658,231,0.2011246578727002,0.2011246578727002,0.021730592482007483,0.011106774570814104,0.020085643264361908,-3.9271221315640794,-3.9582639952373055,-3.9060963834661444,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
23,0.011972122,6.37534078,233,0.201124579077977,0.201124579077977,0.0217309424002754,0.011107149578990727,0.02008596699169629,-3.927122131369988,-3.95826424892644,-3.9060963777336726,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
24,0.031531255,6.406872035,235,0.201124579077977,0.201124579077977,0.0217309424002754,0.011107149578990727,0.02008596699169629,-3.927122131369988,-3.95826424892644,-3.9060963777336726,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
25,0.012271113,6.419143148,237,0.20112451544294993,0.20112451544294993,0.021731391224528718,0.011107614581070235,0.020086423855959823,-3.9271221309342144,-3.9582645348572507,-3.9060965814397597,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
26,0.027370371,6.446513519,240,0.20110996832264988,0.20110996832264988,0.021707617892206654,0.011067006017178915,0.020045289490970508,-3.9270561298218256,-3.957960947276064,-3.906336124167702,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
27,0.011838561,6.45835208,242,0.2011097565899978,0.2011097565899978,0.02170787122259832,0.0110673643371062,0.020045573735723354,-3.9270560557169154,-3.9579672157096146,-3.9063379126048354,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
28,0.010195304,6.468547384,245,0.20111659639967092,0.20111659639967092,0.02170778737754353,0.011067916477251916,0.020045144302786033,-3.9270256567809314,-3.9579666384961505,-3.906282653530344,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
29,0.01238908,6.480936464,247,0.20111654620266822,0.20111654620266822,0.021708048366215982,0.011068188386212707,0.020045401869906887,-3.9270256561865637,-3.9579666832771006,-3.9062822639348673,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
30,0.010913877,6.491850341,249,0.20111654815870286,0.20111654815870286,0.02170805138107834,0.01106819174760254,0.020045404721279025,-3.9270256561865637,-3.9579666832771006,-3.9062822639348673,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
31,0.011347856,6.503198197000001,253,0.2011307555638383,0.2011307555638383,0.021685450546465868,0.011018579254289285,0.020046201652378248,-3.9270105137561533,-3.957999207198774,-3.90630601098805,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
32,0.01261951,6.515817707000001,255,0.20113080909615624,0.20113080909615624,0.021684860298875175,0.011018379041507154,0.020045733972511304,-3.927010513589719,-3.9579988058945523,-3.9063058178025067,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
33,0.010643204,6.526460911000001,256,0.2011183966436425,0.2011183966436425,0.02188206105066326,0.011237579054294233,0.02030230636075414,-3.926233433871897,-3.957009130305692,-3.9048948321541843,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
34,0.012102915,6.538563826000001,258,0.20111937784323414,0.20111937784323414,0.02187343365858485,0.011224212577647497,0.020293229099761945,-3.9262334276247786,-3.957012300879301,-3.904894979989369,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
35,0.010938017,6.549501843000001,260,0.20103619372633103,0.20103619372633103,0.02173813340303643,0.01118221322119095,0.019941652766962137,-3.9256543149072,-3.9573897818079997,-3.9037895451853255,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
36,0.030484386,6.579986229000001,263,0.20104904093070428,0.20104904093070428,0.021737919631553138,0.011136112909241658,0.01992815370454415,-3.92563322537764,-3.9572995210742863,-3.9037178640323074,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
37,0.011978464,6.591964693000001,265,0.2010489997272677,0.2010489997272677,0.021738180639591542,0.011136382426658042,0.019928416327696485,-3.9256332237738265,-3.9572995593474225,-3.9037169005281402,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
38,0.030425496,6.622390189000002,268,0.20104881523339457,0.20104881523339457,0.021739511008562307,0.011137921328530864,0.019928592676422885,-3.9256329988923877,-3.9573086272516527,-3.903710379365217,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
39,0.012583709,6.634973898000002,270,0.20104879287838967,0.20104879287838967,0.021739649164568386,0.011138089647702687,0.01992872916572075,-3.925632998475916,-3.957308944255241,-3.9037102036898137,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
40,0.010882714,6.645856612000002,273,0.20105051863503373,0.20105051863503373,0.021739687402716146,0.011138195015819585,0.019928639601733966,-3.925625920572184,-3.957344983804938,-3.903646155998706,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
41,0.012296848,6.658153460000002,275,0.2010504890854765,0.2010504890854765,0.021739914556098694,0.011138429001719352,0.019928869030940266,-3.925625909685299,-3.9573439440110745,-3.903644889298857,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
42,0.011254823,6.669408283000002,275,0.2010504890854765,0.2010504890854765,0.021739914556098694,0.011138429001719352,0.019928869030940266,-3.925625909685299,-3.9573439440110745,-3.903644889298857,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
43,0.011999449,6.681407732000002,277,0.20105048929066632,0.20105048929066632,0.021739913632627395,0.011138428041322257,0.01992886815359507,-3.925625909685299,-3.9573439440110745,-3.903644889298857,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
44,0.013555515,6.694963247000002,279,0.20105043067059203,0.20105043067059203,0.021740417810649393,0.011138552802907542,0.019929304249031943,-3.925625909677034,-3.957344329541321,-3.9036450693478417,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
45,0.011693143,6.706656390000002,282,0.20101700977170453,0.20101700977170453,0.02177713867869069,0.011070245789957744,0.02003330185199481,-3.9253154971698554,-3.957917862963835,-3.903786137429327,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
46,0.012660633,6.719317023000002,284,0.20101854415197118,0.20101854415197118,0.021763250205707907,0.011049591850158302,0.02001732207703366,-3.925315484343138,-3.9579222449221376,-3.9037857554852704,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
47,0.081254649,6.800571672000002,287,0.20097493503309158,0.20097493503309158,0.022012586131252787,0.011557492722297669,0.02006186566443835,-3.925244006008671,-3.9576723396563867,-3.903735742288019,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
48,0.01243752,6.813009192000002,293,0.2008912742805497,0.2008912742805497,0.02241843179113301,0.012147990415804166,0.02077458211775729,-3.9243001058212963,-3.956828710419276,-3.903094798480398,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
49,0.01201225,6.8250214420000015,295,0.2008914550694019,0.2008914550694019,0.022416534695748558,0.0121452209006907,0.02077248301434731,-3.924300103120398,-3.9568290390519336,-3.903094130768171,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
50,0.013440934,6.838462376000002,298,0.2009010167138762,0.2009010167138762,0.022418722701153526,0.012106677720087,0.020791988563691244,-3.924116480256964,-3.956753256289238,-3.90296702173631,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
51,0.012631108,6.8510934840000015,300,0.200901048219527,0.200901048219527,0.02241879524518464,0.012106736492509373,0.02079213763026,-3.9241164797404524,-3.956753256965537,-3.9029671246980686,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
52,0.012897281,6.863990765000001,302,0.20090150847360613,0.20090150847360613,0.022416482105577007,0.01210447361687661,0.020788564148111477,-3.9240513652467093,-3.956650034968629,-3.9032106040766843,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
53,0.014167394,6.878158159000002,304,0.20090195170317862,0.20090195170317862,0.02241182541291875,0.012100453934855704,0.020783941744849987,-3.9240513605853518,-3.956649724443432,-3.903210539179371,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
54,0.023091438,6.901249597000001,307,0.20089764155007223,0.20089764155007223,0.022401328054667435,0.012081878590579409,0.020769167361290974,-3.924049740895201,-3.9566301540741047,-3.9031767872231025,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
55,0.012284082,6.913533679000001,309,0.20089815449177545,0.20089815449177545,0.022406931491621984,0.012087313975279956,0.020775373318081214,-3.9240497313332425,-3.956628667517402,-3.9031772965950755,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
56,0.012810501,6.926344180000001,317,0.2009725285587096,0.2009725285587096,0.022290604036681816,0.012124094876756475,0.020654701437949008,-3.9238329347481424,-3.956806055517059,-3.902539057247694,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
57,0.014172298,6.940516478000001,319,0.20097246919180392,0.20097246919180392,0.022290390091872947,0.012123712597584158,0.020654480071699788,-3.9238329337747295,-3.9568054619812383,-3.902539299946707,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
