S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,0.006180614698678255,0.3784526586532593,1,1,0.9979223012924194,0.782478928565979,0,1,0.0032216054387390614,0.37692150473594666
0,0,0.8201013207435608,0.7995758652687073,1,1,0.9961736798286438,0.7812756896018982,1,0,0.03895284980535507,0.12264688313007355
0,1,0.9999414682388306,0.8926256895065308,0,1,0.0008298588218167424,0.37568399310112,0,1,0.9998031854629517,0.8925538659095764
1,0,0.013714417815208435,0.1052812859416008,0,1,0.9983235597610474,0.89178866147995,0,0,0.2584104537963867,0.5089566111564636
0,0,0.013611137866973877,0.3822973668575287,0,1,0.9980855584144592,0.8916653394699097,0,1,0.1371309906244278,0.44620653986930847
0,1,0.2880658209323883,0.5243005156517029,0,1,0.9417422413825989,0.8625131845474243,0,1,0.2962775230407715,0.5285490155220032
0,0,0.9506366848945618,0.8671153783798218,0,0,0.012343129143118858,0.3816412687301636,1,0,0.0017026809509843588,0.09701642394065857
1,1,0.017142320051789284,0.1076398491859436,0,1,0.9930421113967896,0.8890557885169983,1,0,0.0001459001359762624,0.09594526141881943
0,1,0.9565588235855103,0.8701794743537903,1,1,0.9800899028778076,0.7702091336250305,0,0,0.06945543736219406,0.4111911654472351
1,0,0.0003278054064139724,0.09607040137052536,1,1,0.989802360534668,0.7768918871879578,0,1,0.9302621483802795,0.8565734028816223
0,1,0.9965723156929016,0.8908822536468506,1,0,0.0001296189584536478,0.09593405574560165,0,0,0.010877067223191261,0.38088259100914
0,0,0.004817972891032696,0.37774771451950073,0,1,0.9992541670799255,0.8922699093818665,0,1,0.999353289604187,0.8923212289810181
1,0,0.0060774944722652435,0.10002658516168594,0,1,0.9959974884986877,0.8905848860740662,1,1,0.9882027506828308,0.7757912278175354
0,1,0.015317020937800407,0.3831799626350403,0,1,0.9300802946090698,0.8564794063568115,1,1,0.999914288520813,0.7838494777679443
0,0,0.07084349542856216,0.41190946102142334,1,0,0.005390943493694067,0.09955429285764694,0,1,0.3422141969203949,0.5523166656494141
0,1,0.004547556862235069,0.3776078522205353,0,1,0.60094153881073,0.6861825585365295,0,0,0.011413765139877796,0.38116031885147095
0,1,0.921342134475708,0.8519582152366638,0,1,0.9985425472259521,0.8919017314910889,0,1,0.9367672801017761,0.8599395751953125
1,1,0.8998365998268127,0.7149897217750549,1,0,1.7576161553733982e-5,0.09585700184106827,1,0,0.11463126540184021,0.1747184842824936
0,1,0.9993641972541809,0.8923270106315613,0,1,0.8557513356208801,0.8180215358734131,0,1,0.9171481728553772,0.8497880697250366
1,0,0.9971156120300293,0.7819238305091858,0,1,0.9956964254379272,0.8904291987419128,0,1,0.9992303252220154,0.8922576904296875
0,1,0.9185075163841248,0.8504916429519653,0,1,0.016165876761078835,0.38361895084381104,0,1,0.9914703369140625,0.8882426023483276
0,1,0.022661887109279633,0.3869801163673401,0,0,0.18949702382087708,0.4733008146286011,0,0,0.2744290232658386,0.517244815826416
0,1,0.9861367344856262,0.8854828476905823,1,0,0.00010370732343290001,0.09591621160507202,1,1,0.9882187843322754,0.7758022546768188
0,1,0.548378586769104,0.6589862704277039,0,1,0.965886116027832,0.8750054240226746,0,0,0.02908337488770485,0.39030271768569946
0,0,0.01913881115615368,0.3851572573184967,0,0,0.040805015712976456,0.39636725187301636,0,1,0.9993799328804016,0.892335057258606
0,1,0.9830493927001953,0.8838856220245361,1,1,0.9833921194076538,0.7724812030792236,0,1,0.013579747639596462,0.38228097558021545
0,1,0.003505236702039838,0.377068430185318,0,0,0.010893459431827068,0.38089120388031006,1,0,0.008661618456244469,0.10180460661649704
0,1,0.027283286675810814,0.38937127590179443,0,0,0.9711925983428955,0.8777508735656738,0,1,0.07599513232707977,0.41457486152648926
0,0,0.0060147978365421295,0.3783668577671051,0,1,0.027215875685214996,0.389336496591568,0,1,0.9974870085716248,0.8913557529449463
0,1,0.6310793161392212,0.7017757892608643,0,1,0.14732196927070618,0.45147937536239624,0,1,0.6379783749580383,0.7053453326225281
0,1,0.7001972198486328,0.7375375628471375,0,1,0.8347886800765991,0.8071753978729248,1,1,0.6491790413856506,0.5425213575363159
1,0,0.00243296567350626,0.0975189357995987,0,1,0.5305571556091309,0.6497656106948853,0,1,0.9423432946205139,0.8628242015838623
1,0,0.6697810888290405,0.556696891784668,1,0,4.7213859943440184e-5,0.09587730467319489,1,0,0.9957975745201111,0.7810168862342834
0,1,0.9996249079704285,0.8924616575241089,0,1,0.00511041097342968,0.37789908051490784,0,1,0.003249276429414749,0.3769358694553375
0,1,0.9582160115242004,0.8710373640060425,1,1,0.9440996050834656,0.7454454898834229,0,0,0.17448562383651733,0.46553388237953186
0,1,0.9949029088020325,0.8900185823440552,0,0,0.6916576623916626,0.7331192493438721,1,0,0.01125126052647829,0.1035865992307663
1,0,0.0039967261254787445,0.09859490394592285,0,0,0.03148098289966583,0.391543447971344,1,0,0.013760835863649845,0.10531314462423325
0,1,0.9994304776191711,0.8923613429069519,1,1,0.9525774717330933,0.7512787580490112,0,0,0.2659147381782532,0.5128392577171326
0,1,0.9628493189811707,0.8734340667724609,0,1,0.9958930015563965,0.8905308246612549,1,1,0.9855965971946716,0.7739979028701782
0,1,0.06743507832288742,0.4101457893848419,0,1,0.9997621774673462,0.8925328850746155,0,1,0.9997259974479675,0.8925141096115112
1,0,0.1353192776441574,0.18895313143730164,1,0,0.9544079303741455,0.75253826379776,0,1,0.1614450216293335,0.4587866961956024
0,0,0.002698941621929407,0.37665119767189026,1,0,0.8995217084884644,0.7147731184959412,1,0,0.030685972422361374,0.11695873737335205
0,0,0.02225043624639511,0.38676711916923523,0,0,0.15513110160827637,0.45551997423171997,1,1,0.9976882338523865,0.7823178172111511
0,1,0.99931800365448,0.8923028707504272,0,1,0.8609345555305481,0.8207033276557922,0,1,0.9805728197097778,0.8826045393943787
0,0,0.014903856441378593,0.3829662501811981,0,1,0.9975717067718506,0.8913995623588562,0,0,0.9996744990348816,0.8924875855445862
0,0,0.00010506717808311805,0.3753092288970947,0,0,0.4135034382343292,0.589201807975769,0,0,0.9999891519546509,0.8926504254341125
